Номер;Описание изменения;Текущий статус изменения;Бизнес-решение;Дата регистрации ЗНИ;Плановая дата выхода из текущего статуса;Дата реализации на старте;Дата реализации с текущим статусом;Просрочка, дней
5500028173;Доработка функционала ввода ЛСР и формир;В разработке ЧТЗ;GO_TORO;23.03.2021;06.08.2021;22.11.2021;07.04.2022;136
5500028174;Ведение договоров НТЦ для ОЭДК в SAP ERP;В разработке ЧТЗ;KSHD;23.03.2021;15.12.2021;22.11.2021;16.08.2022;267
5500028175;Массовый вывод справок-расчетов по БЛ;Закрыт;SAP_HR;23.03.2021;-;;;-
5500028176;"Создание ВО ""Премия к юбил дате без СВ""";Закрыт;SAP_HR;23.03.2021;-;;;-
5500028177;Развитие функциональности/обновление реш;Закрыт;RESHKONKOM;23.03.2021;-;;;-
5500028178;Прошу реализовать веб-сервис со стороны;Согласование ЧТЗ Архитектором;KSU_NSI;23.03.2021;10.12.2021;29.11.2021;18.08.2022;262
5500028179;Возможность выбора ТФД при инициировании;Закрыт;OFERTA;23.03.2021;-;;;-
5500028180;Процесс расчета зарплаты по расписанию;Закрыт;SAP_HR;24.03.2021;-;;;-
5500028181;Тираж ОЭДК на Меретояханефтегаз;Закрыт;OFERTA;24.03.2021;-;;;-
5500028182;Обмен между АСУ ТОИР и КСУИТ;Закрыт;KSUIT;24.03.2021;-;;;-
5500028183;Приказ Минздрава РФ № 29Н от 28.01.2021;В разработке ЧТЗ;SAP_HR;24.03.2021;31.12.2021;19.09.2021;28.06.2022;282
5500028184;Техническое проектирование интеграции си;Отклонен;KHD_BEF;24.03.2021;-;;;-
5500028185;Реализация услуг процессинга - доработка;Закрыт;SAPFIR;24.03.2021;-;;;-
5500028186;Корректировка отчёта «Хал.6К».;В разработке ЧТЗ;SHAHMATKA;24.03.2021;30.05.2022;09.01.2022;17.03.2023;432
5500028187;передача имущества в УК;Отклонен;ERP_KFSCH;24.03.2021;-;;;-
5500028189;Назначение групп CL* на основе таблицы I;В разработке ЧТЗ;SUID;24.03.2021;31.01.2022;28.11.2021;07.10.2022;313
5500028190;Разработка отчета в BI-Publisher по дост;В разработке ЧТЗ;SUID;24.03.2021;20.01.2022;28.11.2021;26.09.2022;302
5500028191;Доработка карточки учета выдачи СИЗ в ча;В работе;SAP_HR;24.03.2021;31.01.2022;07.09.2021;17.07.2022;313
5500028192;Настроить передачу аналитики контрагент;Закрыт;KHD_BEF;24.03.2021;-;;;-
5500028193;Расширение перечня контролируемых параме;В разработке ЧТЗ;SHAHMATKA;24.03.2021;30.05.2022;09.01.2022;17.03.2023;432
5500028194;Настройка сервиса по самостоятельному сб;Реализовано;SYSTEM_AUT;24.03.2021;30.12.2021;07.12.2021;12.09.2022;279
5500028195;Синтезгруппа в отчётах SAP: в транзакция;В работе;OFERTA;24.03.2021;31.01.2022;25.08.2021;04.07.2022;313
5500028196;При подготовке конкурсной документации (;В разработке ЧТЗ;OFERTA;24.03.2021;31.12.2021;06.09.2021;15.06.2022;282
5500028197;1201_ Дополнительное соглашение о возмещ;Закрыт;SAP_HR;25.03.2021;-;;;-
5500028198;1201_Дополнительное соглашение о поручен;Закрыт;SAP_HR;25.03.2021;-;;;-
5500028199;Разработать подсистему «Управление досту;Отклонен;MTO_DRP;26.03.2021;-;;;-
5500028200;Доработка Портала HSE в части применения;В разработке ЧТЗ;PORTAL_HSE;26.03.2021;24.02.2022;19.09.2021;20.08.2022;335
5500028201;Расширение структуры транзакционных данн;В ожидании акта от подрядчика;KHD_BEF;25.03.2021;30.03.2022;31.08.2021;30.03.2022;210
5500028202;Доработка КЮРАСАО по нормализации сумм с;Закрыт;KYURASAO;25.03.2021;-;;;-
5500028203;Расширение структуры транзакционных данн;Приемка Сервис Менеджером;KSHD;25.03.2021;31.12.2021;08.11.2021;12.08.2022;277
5500028205;Расширение структуры транзакционных данн;В работе;ERP_KFSCH;25.03.2021;31.12.2021;10.07.2021;17.04.2022;281
5500028206;Расширение структуры транзакционных данн;В работе;UPP_AERO;25.03.2021;31.12.2021;24.08.2021;01.06.2022;281
5500028207;Расширение структуры транзакционных данн;В работе;UPP_MB;25.03.2021;31.12.2021;29.10.2021;06.08.2022;281
5500028208;Электронный документооборот смет (дополн;Приемка Сервис Менеджером;TORO_NPZ;25.03.2021;23.12.2021;08.10.2021;04.07.2022;269
5500028209;Отображать объекты обслуживания на вклад;В разработке ЧТЗ;TORO_NPZ;25.03.2021;15.04.2021;24.10.2021;14.11.2021;21
5500028210;Активация СУС;Закрыт;AIS_US;25.03.2021;-;;;-
5500028211;Автоматическое подтверждение ТЗ при заве;Отклонен;AIS_US;25.03.2021;-;;;-
5500028212;Создание подзаказа с пустыми полями ЕО и;В разработке ЧТЗ;TORO_NPZ;25.03.2021;15.04.2021;24.10.2021;14.11.2021;21
